ell     Dl
2       1022.527
3       968.393
4       916.404
5       877.647
6       851.231
7       834.481
8       824.456
9       819.792
10      819.037
12      825.822
15      847.381
20      906.554
25      977.604
30      1056.560
35      1141.254
40      1230.978
45      1325.114
50      1423.691
55      1526.820
60      1634.975
65      1748.151
70      1866.942
75      1991.063
80      2122.051
85      2258.954
90      2401.429
95      2549.015
100     2702.140
110     3023.767
120     3360.860
130     3706.224
140     4051.455
150     4388.190
160     4705.824
170     4995.383
180     5247.094
190     5452.760
200     5605.537
210     5699.819
220     5732.428
230     5702.949
240     5612.105
250     5462.956
260     5260.274
270     5011.427
280     4724.871
290     4410.338
300     4077.983
310     3738.093
320     3401.348
330     3077.639
340     2775.977
350     2503.947
360     2267.686
370     2071.929
380     1919.439
390     1811.262
400     1746.534
410     1722.995
420     1736.535
430     1782.170
440     1853.692
450     1944.455
460     2047.477
470     2155.597
480     2262.210
490     2361.231
500     2447.213
510     2515.685
520     2563.909
530     2589.636
540     2592.382
550     2572.765
560     2532.499
570     2474.342
580     2401.507
590     2318.495
600     2229.852
620     2053.734
640     1908.337
660     1821.057
680     1807.126
700     1867.150
720     1987.593
740     2144.183
760     2306.233
780     2442.209
800     2525.060
820     2536.604
840     2469.889
860     2330.136
880     2133.558
900     1902.876
920     1664.312
940     1443.767
960     1262.210
980     1133.174
1000    1061.200
1020    1042.212
1040    1064.868
1060    1112.900
1080    1168.488
1100    1214.843
1120    1238.963
1140    1233.378
1160    1196.461
1180    1132.522
1200    1050.078
1220    960.100
1240    874.233
1260    802.456
1280    751.642
1300    724.809
1320    720.828
1340    734.957
1360    759.871
1380    787.199
1400    808.722
1420    817.720
1440    810.144
1460    784.570
1480    742.592
1500    688.218
1520    626.805
1540    564.543
1560    507.086
1580    458.895
1600    422.778
1620    399.481
1640    387.895
1660    385.435
1680    388.581
1700    393.512
1720    396.706
1740    395.550
1760    388.501
1780    375.225
1800    356.626
1820    334.363
1840    310.622
1860    287.677
1880    267.478
1900    251.405
1920    240.074
1940    233.347
1960    230.402
1980    229.934
2000    230.416
2050    226.575
2100    206.328
2150    173.420
2200    141.828
2250    122.137
2300    114.141
2350    109.982
2400    102.430
2450    90.338
2500    77.625
