ell     Dl      errm    errp
2       970.3   460.0   460.0
3       941.2   270.0   270.0
4       772.7   170.0   170.0
5       752.5   130.0   130.0
6       751.4   100.0   100.0
7       695.7   86.0    86.0
8       695.9   76.0    76.0
9       739.5   66.0    66.0
10      729.7   60.0    60.0
12      820.2   50.0    50.0
15      869.8   43.0    43.0
20      944.5   38.0    38.0
25      964.8   34.0    34.0
30      1007.2  32.0    32.0
40      1200.0  30.0    30.0
50      1390.0  30.0    30.0
60      1611.0  28.0    28.0
70      1844.0  28.0    28.0
80      2117.0  28.0    28.0
90      2358.0  28.0    28.0
100     2699.0  26.0    26.0
130     3713.0  28.0    28.0
160     4719.0  33.0    33.0
200     5602.0  40.0    40.0
220     5732.0  44.0    44.0
250     5481.0  48.0    48.0
300     4083.0  45.0    45.0
350     2513.0  37.0    37.0
400     1749.0  30.0    30.0
450     1940.0  30.0    30.0
500     2447.0  34.0    34.0
540     2590.0  37.0    37.0
570     2498.0  38.0    38.0
600     2230.0  36.0    36.0
650     1918.0  33.0    33.0
700     1869.0  32.0    32.0
750     2020.0  35.0    35.0
800     2523.0  40.0    40.0
850     2463.0  42.0    42.0
900     1905.0  38.0    38.0
950     1350.0  32.0    32.0
1000    1062.0  28.0    28.0
1050    1090.0  29.0    29.0
1100    1216.0  32.0    32.0
1150    1215.0  33.0    33.0
1200    1052.0  30.0    30.0
1250    877.0   27.0    27.0
1300    726.0   24.0    24.0
1350    725.0   24.0    24.0
1400    810.0   26.0    26.0
1450    788.0   27.0    27.0
1500    689.0   24.0    24.0
1600    424.0   19.0    19.0
1700    394.0   19.0    19.0
1800    358.0   19.0    19.0
1900    252.0   17.0    17.0
2000    231.0   17.0    17.0
2100    207.0   17.0    17.0
2200    143.0   16.0    16.0
2300    114.0   16.0    16.0
2400    103.0   16.0    16.0
2500    78.0    16.0    16.0
